iso3,country_name,year,inmigrants,emigrants,net_migration,region4,region6,income_groups,g77_ocde,un_state,landlocked,latitude,longitude,religion
ABW,Aruba,1990,14444,10596,3848,americas,america,high_income,others,FALSE,coastline,12.5,-69.96667,christian
ABW,Aruba,1995,22274,10747,11527,americas,america,high_income,others,FALSE,coastline,12.5,-69.96667,christian
ABW,Aruba,2000,30104,11037,19067,americas,america,high_income,others,FALSE,coastline,12.5,-69.96667,christian
ABW,Aruba,2005,32540,13056,19484,americas,america,high_income,others,FALSE,coastline,12.5,-69.96667,christian
ABW,Aruba,2010,34327,14479,19848,americas,america,high_income,others,FALSE,coastline,12.5,-69.96667,christian
ABW,Aruba,2015,36114,17551,18563,americas,america,high_income,others,FALSE,coastline,12.5,-69.96667,christian
ABW,Aruba,2019,36532,19640,16892,americas,america,high_income,others,FALSE,coastline,12.5,-69.96667,christian
AFG,Afghanistan,1990,57686,6823350,-6765664,asia,south_asia,low_income,g77,TRUE,landlocked,33,66,muslim
AFG,Afghanistan,1995,71522,3716077,-3644555,asia,south_asia,low_income,g77,TRUE,landlocked,33,66,muslim
AFG,Afghanistan,2000,75917,4606374,-4530457,asia,south_asia,low_income,g77,TRUE,landlocked,33,66,muslim
AFG,Afghanistan,2005,87300,3898656,-3811356,asia,south_asia,low_income,g77,TRUE,landlocked,33,66,muslim
AFG,Afghanistan,2010,102246,5055805,-4953559,asia,south_asia,low_income,g77,TRUE,landlocked,33,66,muslim
AFG,Afghanistan,2015,489749,4977010,-4487261,asia,south_asia,low_income,g77,TRUE,landlocked,33,66,muslim
AFG,Afghanistan,2019,149762,5120756,-4970994,asia,south_asia,low_income,g77,TRUE,landlocked,33,66,muslim
AGO,Angola,1990,33517,824942,-791425,africa,sub_saharan_africa,upper_middle_income,g77,TRUE,coastline,-12.5,18.5,christian
AGO,Angola,1995,39813,688660,-648847,africa,sub_saharan_africa,upper_middle_income,g77,TRUE,coastline,-12.5,18.5,christian
AGO,Angola,2000,46108,913314,-867206,africa,sub_saharan_africa,upper_middle_income,g77,TRUE,coastline,-12.5,18.5,christian
AGO,Angola,2005,61329,716506,-655177,africa,sub_saharan_africa,upper_middle_income,g77,TRUE,coastline,-12.5,18.5,christian
AGO,Angola,2010,332126,660056,-327930,africa,sub_saharan_africa,upper_middle_income,g77,TRUE,coastline,-12.5,18.5,christian
AGO,Angola,2015,632178,644655,-12477,africa,sub_saharan_africa,upper_middle_income,g77,TRUE,coastline,-12.5,18.5,christian
AGO,Angola,2019,669479,661590,7889,africa,sub_saharan_africa,upper_middle_income,g77,TRUE,coastline,-12.5,18.5,christian
AIA,Anguilla,1990,2570,2047,523,americas,america,NA,others,FALSE,coastline,18.21667,-63.05,christian
AIA,Anguilla,1995,3317,2566,751,americas,america,NA,others,FALSE,coastline,18.21667,-63.05,christian
AIA,Anguilla,2000,4063,3094,969,americas,america,NA,others,FALSE,coastline,18.21667,-63.05,christian
AIA,Anguilla,2005,4684,3053,1631,americas,america,NA,others,FALSE,coastline,18.21667,-63.05,christian
AIA,Anguilla,2010,5103,2366,2737,americas,america,NA,others,FALSE,coastline,18.21667,-63.05,christian
AIA,Anguilla,2015,5470,2565,2905,americas,america,NA,others,FALSE,coastline,18.21667,-63.05,christian
AIA,Anguilla,2019,5679,2707,2972,americas,america,NA,others,FALSE,coastline,18.21667,-63.05,christian
ALB,Albania,1990,66013,180284,-114271,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,41,20,muslim
ALB,Albania,1995,71354,501142,-429788,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,41,20,muslim
ALB,Albania,2000,76695,824413,-747718,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,41,20,muslim
ALB,Albania,2005,64739,966234,-901495,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,41,20,muslim
ALB,Albania,2010,52784,1120305,-1067521,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,41,20,muslim
ALB,Albania,2015,52031,1129044,-1077013,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,41,20,muslim
ALB,Albania,2019,49160,1207032,-1157872,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,41,20,muslim
AND,Andorra,1990,38891,3792,35099,europe,europe_central_asia,high_income,others,TRUE,landlocked,42.50779,1.52109,christian
AND,Andorra,1995,44206,4192,40014,europe,europe_central_asia,high_income,others,TRUE,landlocked,42.50779,1.52109,christian
AND,Andorra,2000,42147,5624,36523,europe,europe_central_asia,high_income,others,TRUE,landlocked,42.50779,1.52109,christian
AND,Andorra,2005,50298,5778,44520,europe,europe_central_asia,high_income,others,TRUE,landlocked,42.50779,1.52109,christian
AND,Andorra,2010,52053,7926,44127,europe,europe_central_asia,high_income,others,TRUE,landlocked,42.50779,1.52109,christian
AND,Andorra,2015,42264,8723,33541,europe,europe_central_asia,high_income,others,TRUE,landlocked,42.50779,1.52109,christian
AND,Andorra,2019,45102,9114,35988,europe,europe_central_asia,high_income,others,TRUE,landlocked,42.50779,1.52109,christian
ARE,United Arab Emirates,1990,1306574,79545,1227029,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,23.75,54.5,muslim
ARE,United Arab Emirates,1995,1824118,97971,1726147,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,23.75,54.5,muslim
ARE,United Arab Emirates,2000,2447010,111123,2335887,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,23.75,54.5,muslim
ARE,United Arab Emirates,2005,3281115,105072,3176043,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,23.75,54.5,muslim
ARE,United Arab Emirates,2010,7316697,121176,7195521,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,23.75,54.5,muslim
ARE,United Arab Emirates,2015,7995126,137066,7858060,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,23.75,54.5,muslim
ARE,United Arab Emirates,2019,8587256,154404,8432852,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,23.75,54.5,muslim
ARG,Argentina,1990,1649919,430169,1219750,americas,america,upper_middle_income,g77,TRUE,coastline,-34,-64,christian
ARG,Argentina,1995,1595069,481996,1113073,americas,america,upper_middle_income,g77,TRUE,coastline,-34,-64,christian
ARG,Argentina,2000,1540219,555587,984632,americas,america,upper_middle_income,g77,TRUE,coastline,-34,-64,christian
ARG,Argentina,2005,1673088,808409,864679,americas,america,upper_middle_income,g77,TRUE,coastline,-34,-64,christian
ARG,Argentina,2010,1805957,938087,867870,americas,america,upper_middle_income,g77,TRUE,coastline,-34,-64,christian
ARG,Argentina,2015,2086302,946815,1139487,americas,america,upper_middle_income,g77,TRUE,coastline,-34,-64,christian
ARG,Argentina,2019,2212879,1013414,1199465,americas,america,upper_middle_income,g77,TRUE,coastline,-34,-64,christian
ARM,Armenia,1990,658789,899649,-240860,europe,europe_central_asia,lower_middle_income,others,TRUE,landlocked,40.25,45,christian
ARM,Armenia,1995,693999,901872,-207873,europe,europe_central_asia,lower_middle_income,others,TRUE,landlocked,40.25,45,christian
ARM,Armenia,2000,657900,876470,-218570,europe,europe_central_asia,lower_middle_income,others,TRUE,landlocked,40.25,45,christian
ARM,Armenia,2005,469119,898086,-428967,europe,europe_central_asia,lower_middle_income,others,TRUE,landlocked,40.25,45,christian
ARM,Armenia,2010,211147,917350,-706203,europe,europe_central_asia,lower_middle_income,others,TRUE,landlocked,40.25,45,christian
ARM,Armenia,2015,191199,946978,-755779,europe,europe_central_asia,lower_middle_income,others,TRUE,landlocked,40.25,45,christian
ARM,Armenia,2019,190159,964848,-774689,europe,europe_central_asia,lower_middle_income,others,TRUE,landlocked,40.25,45,christian
ASM,American Samoa,1990,21283,2041,19242,asia,east_asia_pacific,upper_middle_income,others,FALSE,coastline,-11.056,-171.082,christian
ASM,American Samoa,1995,23098,2638,20460,asia,east_asia_pacific,upper_middle_income,others,FALSE,coastline,-11.056,-171.082,christian
ASM,American Samoa,2000,24912,3186,21726,asia,east_asia_pacific,upper_middle_income,others,FALSE,coastline,-11.056,-171.082,christian
ASM,American Samoa,2005,24233,2588,21645,asia,east_asia_pacific,upper_middle_income,others,FALSE,coastline,-11.056,-171.082,christian
ASM,American Samoa,2010,23555,2159,21396,asia,east_asia_pacific,upper_middle_income,others,FALSE,coastline,-11.056,-171.082,christian
ASM,American Samoa,2015,23513,1967,21546,asia,east_asia_pacific,upper_middle_income,others,FALSE,coastline,-11.056,-171.082,christian
ASM,American Samoa,2019,23539,1817,21722,asia,east_asia_pacific,upper_middle_income,others,FALSE,coastline,-11.056,-171.082,christian
ATG,Antigua and Barbuda,1990,12029,21753,-9724,americas,america,high_income,g77,TRUE,coastline,17.05,-61.8,christian
ATG,Antigua and Barbuda,1995,17550,27682,-10132,americas,america,high_income,g77,TRUE,coastline,17.05,-61.8,christian
ATG,Antigua and Barbuda,2000,23071,33847,-10776,americas,america,high_income,g77,TRUE,coastline,17.05,-61.8,christian
ATG,Antigua and Barbuda,2005,24741,37541,-12800,americas,america,high_income,g77,TRUE,coastline,17.05,-61.8,christian
ATG,Antigua and Barbuda,2010,26412,41431,-15019,americas,america,high_income,g77,TRUE,coastline,17.05,-61.8,christian
ATG,Antigua and Barbuda,2015,28083,52576,-24493,americas,america,high_income,g77,TRUE,coastline,17.05,-61.8,christian
ATG,Antigua and Barbuda,2019,29207,55089,-25882,americas,america,high_income,g77,TRUE,coastline,17.05,-61.8,christian
AUS,Australia,1990,3955213,303696,3651517,asia,east_asia_pacific,high_income,oecd,TRUE,coastline,-25,135,christian
AUS,Australia,1995,4153330,344311,3809019,asia,east_asia_pacific,high_income,oecd,TRUE,coastline,-25,135,christian
AUS,Australia,2000,4386250,385120,4001130,asia,east_asia_pacific,high_income,oecd,TRUE,coastline,-25,135,christian
AUS,Australia,2005,4878030,430599,4447431,asia,east_asia_pacific,high_income,oecd,TRUE,coastline,-25,135,christian
AUS,Australia,2010,5882980,487844,5395136,asia,east_asia_pacific,high_income,oecd,TRUE,coastline,-25,135,christian
AUS,Australia,2015,6729730,529676,6200054,asia,east_asia_pacific,high_income,oecd,TRUE,coastline,-25,135,christian
AUS,Australia,2019,7549270,577255,6972015,asia,east_asia_pacific,high_income,oecd,TRUE,coastline,-25,135,christian
AUT,Austria,1990,793239,506088,287151,europe,europe_central_asia,high_income,oecd,TRUE,landlocked,47.33333,13.33333,christian
AUT,Austria,1995,894893,490849,404044,europe,europe_central_asia,high_income,oecd,TRUE,landlocked,47.33333,13.33333,christian
AUT,Austria,2000,996547,478831,517716,europe,europe_central_asia,high_income,oecd,TRUE,landlocked,47.33333,13.33333,christian
AUT,Austria,2005,1136270,494587,641683,europe,europe_central_asia,high_income,oecd,TRUE,landlocked,47.33333,13.33333,christian
AUT,Austria,2010,1275992,520152,755840,europe,europe_central_asia,high_income,oecd,TRUE,landlocked,47.33333,13.33333,christian
AUT,Austria,2015,1492374,531451,960923,europe,europe_central_asia,high_income,oecd,TRUE,landlocked,47.33333,13.33333,christian
AUT,Austria,2019,1779857,575950,1203907,europe,europe_central_asia,high_income,oecd,TRUE,landlocked,47.33333,13.33333,christian
AZE,Azerbaijan,1990,360600,1634081,-1273481,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,40.5,47.5,muslim
AZE,Azerbaijan,1995,344070,1712211,-1368141,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,40.5,47.5,muslim
AZE,Azerbaijan,2000,327540,1628482,-1300942,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,40.5,47.5,muslim
AZE,Azerbaijan,2005,302220,1446116,-1143896,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,40.5,47.5,muslim
AZE,Azerbaijan,2010,276901,1164567,-887666,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,40.5,47.5,muslim
AZE,Azerbaijan,2015,264241,1137808,-873567,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,40.5,47.5,muslim
AZE,Azerbaijan,2019,253887,1155852,-901965,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,40.5,47.5,muslim
BDI,Burundi,1990,333110,337118,-4008,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,-3.5,30,christian
BDI,Burundi,1995,254853,540567,-285714,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,-3.5,30,christian
BDI,Burundi,2000,125628,758674,-633046,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,-3.5,30,christian
BDI,Burundi,2005,172874,619478,-446604,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,-3.5,30,christian
BDI,Burundi,2010,235259,284587,-49328,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,-3.5,30,christian
BDI,Burundi,2015,289810,462022,-172212,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,-3.5,30,christian
BDI,Burundi,2019,321018,623999,-302981,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,-3.5,30,christian
BEL,Belgium,1990,1280583,365360,915223,europe,europe_central_asia,high_income,oecd,TRUE,coastline,50.75,4.5,christian
BEL,Belgium,1995,1288003,376028,911975,europe,europe_central_asia,high_income,oecd,TRUE,coastline,50.75,4.5,christian
BEL,Belgium,2000,1268368,400064,868304,europe,europe_central_asia,high_income,oecd,TRUE,coastline,50.75,4.5,christian
BEL,Belgium,2005,1248733,439693,809040,europe,europe_central_asia,high_income,oecd,TRUE,coastline,50.75,4.5,christian
BEL,Belgium,2010,1503806,487203,1016603,europe,europe_central_asia,high_income,oecd,TRUE,coastline,50.75,4.5,christian
BEL,Belgium,2015,1783488,532447,1251041,europe,europe_central_asia,high_income,oecd,TRUE,coastline,50.75,4.5,christian
BEL,Belgium,2019,1981919,581740,1400179,europe,europe_central_asia,high_income,oecd,TRUE,coastline,50.75,4.5,christian
BEN,Benin,1990,76751,234314,-157563,africa,sub_saharan_africa,low_income,g77,TRUE,coastline,9.5,2.25,NA
BEN,Benin,1995,105703,275696,-169993,africa,sub_saharan_africa,low_income,g77,TRUE,coastline,9.5,2.25,NA
BEN,Benin,2000,134655,328047,-193392,africa,sub_saharan_africa,low_income,g77,TRUE,coastline,9.5,2.25,NA
BEN,Benin,2005,221889,504053,-282164,africa,sub_saharan_africa,low_income,g77,TRUE,coastline,9.5,2.25,NA
BEN,Benin,2010,309124,540832,-231708,africa,sub_saharan_africa,low_income,g77,TRUE,coastline,9.5,2.25,NA
BEN,Benin,2015,366284,635120,-268836,africa,sub_saharan_africa,low_income,g77,TRUE,coastline,9.5,2.25,NA
BEN,Benin,2019,390112,666357,-276245,africa,sub_saharan_africa,low_income,g77,TRUE,coastline,9.5,2.25,NA
BFA,Burkina Faso,1990,349652,1021332,-671680,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,12.5,-1.66667,muslim
BFA,Burkina Faso,1995,464104,1215666,-751562,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,12.5,-1.66667,muslim
BFA,Burkina Faso,2000,520363,1279415,-759052,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,12.5,-1.66667,muslim
BFA,Burkina Faso,2005,597658,1367198,-769540,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,12.5,-1.66667,muslim
BFA,Burkina Faso,2010,674438,1434192,-759754,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,12.5,-1.66667,muslim
BFA,Burkina Faso,2015,704676,1518086,-813410,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,12.5,-1.66667,muslim
BFA,Burkina Faso,2019,718338,1581083,-862745,africa,sub_saharan_africa,low_income,g77,TRUE,landlocked,12.5,-1.66667,muslim
BGD,Bangladesh,1990,881617,5451831,-4570214,asia,south_asia,low_income,g77,TRUE,coastline,24,90,muslim
BGD,Bangladesh,1995,934735,5425050,-4490315,asia,south_asia,low_income,g77,TRUE,coastline,24,90,muslim
BGD,Bangladesh,2000,987853,5442722,-4454869,asia,south_asia,low_income,g77,TRUE,coastline,24,90,muslim
BGD,Bangladesh,2005,1166700,5786866,-4620166,asia,south_asia,low_income,g77,TRUE,coastline,24,90,muslim
BGD,Bangladesh,2010,1345546,6750115,-5404569,asia,south_asia,low_income,g77,TRUE,coastline,24,90,muslim
BGD,Bangladesh,2015,1422805,7307527,-5884722,asia,south_asia,low_income,g77,TRUE,coastline,24,90,muslim
BGD,Bangladesh,2019,2185613,7835152,-5649539,asia,south_asia,low_income,g77,TRUE,coastline,24,90,muslim
BGR,Bulgaria,1990,21510,613093,-591583,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,42.66667,25.25,christian
BGR,Bulgaria,1995,32435,649577,-617142,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,42.66667,25.25,christian
BGR,Bulgaria,2000,43360,688832,-645472,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,42.66667,25.25,christian
BGR,Bulgaria,2005,61074,906520,-845446,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,42.66667,25.25,christian
BGR,Bulgaria,2010,76287,1106684,-1030397,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,42.66667,25.25,christian
BGR,Bulgaria,2015,123803,1155732,-1031929,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,42.66667,25.25,christian
BGR,Bulgaria,2019,168516,1541860,-1373344,europe,europe_central_asia,upper_middle_income,others,TRUE,coastline,42.66667,25.25,christian
BHR,Bahrain,1990,173212,12820,160392,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,26.03333,50.55,muslim
BHR,Bahrain,1995,205979,26016,179963,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,26.03333,50.55,muslim
BHR,Bahrain,2000,239361,47738,191623,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,26.03333,50.55,muslim
BHR,Bahrain,2005,404018,52557,351461,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,26.03333,50.55,muslim
BHR,Bahrain,2010,657856,53125,604731,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,26.03333,50.55,muslim
BHR,Bahrain,2015,704137,57930,646207,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,26.03333,50.55,muslim
BHR,Bahrain,2019,741161,60153,681008,asia,middle_east_north_africa,high_income,g77,TRUE,coastline,26.03333,50.55,muslim
BHS,Bahamas,1990,26855,25182,1673,americas,america,high_income,g77,TRUE,coastline,25.04082,-77.37122,christian
BHS,Bahamas,1995,31654,29686,1968,americas,america,high_income,g77,TRUE,coastline,25.04082,-77.37122,christian
BHS,Bahamas,2000,36454,34441,2013,americas,america,high_income,g77,TRUE,coastline,25.04082,-77.37122,christian
BHS,Bahamas,2005,45595,34866,10729,americas,america,high_income,g77,TRUE,coastline,25.04082,-77.37122,christian
BHS,Bahamas,2010,54736,36004,18732,americas,america,high_income,g77,TRUE,coastline,25.04082,-77.37122,christian
BHS,Bahamas,2015,59306,43142,16164,americas,america,high_income,g77,TRUE,coastline,25.04082,-77.37122,christian
BHS,Bahamas,2019,62962,46467,16495,americas,america,high_income,g77,TRUE,coastline,25.04082,-77.37122,christian
BIH,Bosnia and Herzegovina,1990,56000,861766,-805766,europe,europe_central_asia,upper_middle_income,g77,TRUE,coastline,44.25,17.83333,NA
BIH,Bosnia and Herzegovina,1995,69476,1372534,-1303058,europe,europe_central_asia,upper_middle_income,g77,TRUE,coastline,44.25,17.83333,NA
BIH,Bosnia and Herzegovina,2000,82952,1496702,-1413750,europe,europe_central_asia,upper_middle_income,g77,TRUE,coastline,44.25,17.83333,NA
BIH,Bosnia and Herzegovina,2005,47272,1496969,-1449697,europe,europe_central_asia,upper_middle_income,g77,TRUE,coastline,44.25,17.83333,NA
BIH,Bosnia and Herzegovina,2010,38792,1569275,-1530483,europe,europe_central_asia,upper_middle_income,g77,TRUE,coastline,44.25,17.83333,NA
BIH,Bosnia and Herzegovina,2015,38574,1606003,-1567429,europe,europe_central_asia,upper_middle_income,g77,TRUE,coastline,44.25,17.83333,NA
BIH,Bosnia and Herzegovina,2019,35735,1653056,-1617321,europe,europe_central_asia,upper_middle_income,g77,TRUE,coastline,44.25,17.83333,NA
BLR,Belarus,1990,1248977,1767606,-518629,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,53,28,christian
BLR,Belarus,1995,1186282,1736499,-550217,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,53,28,christian
BLR,Belarus,2000,1123586,1685652,-562066,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,53,28,christian
BLR,Belarus,2005,1106982,1581211,-474229,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,53,28,christian
BLR,Belarus,2010,1090378,1465141,-374763,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,53,28,christian
BLR,Belarus,2015,1082905,1472195,-389290,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,53,28,christian
BLR,Belarus,2019,1069395,1480794,-411399,europe,europe_central_asia,upper_middle_income,others,TRUE,landlocked,53,28,christian
BLZ,Belize,1990,30404,36117,-5713,americas,america,upper_middle_income,g77,TRUE,coastline,17.49952,-88.19756,christian
BLZ,Belize,1995,33446,41959,-8513,americas,america,upper_middle_income,g77,TRUE,coastline,17.49952,-88.19756,christian
BLZ,Belize,2000,36488,48213,-11725,americas,america,upper_middle_income,g77,TRUE,coastline,17.49952,-88.19756,christian
BLZ,Belize,2005,41424,51891,-10467,americas,america,upper_middle_income,g77,TRUE,coastline,17.49952,-88.19756,christian
BLZ,Belize,2010,46360,57331,-10971,americas,america,upper_middle_income,g77,TRUE,coastline,17.49952,-88.19756,christian
BLZ,Belize,2015,54674,63256,-8582,americas,america,upper_middle_income,g77,TRUE,coastline,17.49952,-88.19756,christian
BLZ,Belize,2019,59998,68144,-8146,americas,america,upper_middle_income,g77,TRUE,coastline,17.49952,-88.19756,christian
BMU,Bermuda,1990,15683,71702,-56019,americas,america,high_income,others,FALSE,coastline,32.2949,-64.78303,christian
BMU,Bermuda,1995,16676,42600,-25924,americas,america,high_income,others,FALSE,coastline,32.2949,-64.78303,christian
BMU,Bermuda,2000,17668,14084,3584,americas,america,high_income,others,FALSE,coastline,32.2949,-64.78303,christian
BMU,Bermuda,2005,18276,14921,3355,americas,america,high_income,others,FALSE,coastline,32.2949,-64.78303,christian
BMU,Bermuda,2010,18884,15281,3603,americas,america,high_income,others,FALSE,coastline,32.2949,-64.78303,christian
BMU,Bermuda,2015,19126,16513,2613,americas,america,high_income,others,FALSE,coastline,32.2949,-64.78303,christian
BMU,Bermuda,2019,19336,18049,1287,americas,america,high_income,others,FALSE,coastline,32.2949,-64.78303,christian
BOL,Bolivia,1990,73758,224693,-150935,americas,america,lower_middle_income,g77,TRUE,landlocked,-17,-65,christian
BOL,Bolivia,1995,83598,283540,-199942,americas,america,lower_middle_income,g77,TRUE,landlocked,-17,-65,christian
