geo,year,immigrant_stock_value,g77_and_oecd_countries.x,income_groups.x,is--country.x,iso3166_1_alpha2.x,unicode_region_subtag.x,iso3166_1_alpha3.x,iso3166_1_numeric.x,iso3166_2.x,landlocked.x,latitude.x,longitude.x,main_religion_2008.x,country_name,un_state.x,world_4region.x,world_6region.x,emigrant_stock_value,g77_and_oecd_countries.y,income_groups.y,is--country.y,iso3166_1_alpha2.y,unicode_region_subtag.y,iso3166_1_alpha3.y,iso3166_1_numeric.y,iso3166_2.y,landlocked.y,latitude.y,longitude.y,main_religion_2008.y,un_state.y,world_4region.y,world_6region.y,net_migration
bdi,1990,333110,g77,low_income,TRUE,BI,BI,BDI,108,NA,landlocked,-3.5,30,christian,Burundi,TRUE,africa,sub_saharan_africa,337118,g77,low_income,TRUE,BI,BI,BDI,108,NA,landlocked,-3.5,30,christian,TRUE,africa,sub_saharan_africa,-4008
com,1990,14079,g77,low_income,TRUE,KM,KM,COM,174,NA,coastline,-12.23333,44.44553,muslim,Comoros,TRUE,africa,sub_saharan_africa,40083,g77,low_income,TRUE,KM,KM,COM,174,NA,coastline,-12.23333,44.44553,muslim,TRUE,africa,sub_saharan_africa,-26004
dji,1990,122221,g77,lower_middle_income,TRUE,DJ,DJ,DJI,262,NA,coastline,11.58901,43.14503,muslim,Djibouti,TRUE,africa,middle_east_north_africa,5308,g77,lower_middle_income,TRUE,DJ,DJ,DJI,262,NA,coastline,11.58901,43.14503,muslim,TRUE,africa,middle_east_north_africa,116913
eri,1990,11848,g77,low_income,TRUE,ER,ER,ERI,232,NA,coastline,15,39,muslim,Eritrea,TRUE,africa,sub_saharan_africa,170603,g77,low_income,TRUE,ER,ER,ERI,232,NA,coastline,15,39,muslim,TRUE,africa,sub_saharan_africa,-158755
eth,1990,1155390,g77,low_income,TRUE,ET,ET,ETH,231,NA,coastline,9,39.5,christian,Ethiopia,TRUE,africa,sub_saharan_africa,1689955,g77,low_income,TRUE,ET,ET,ETH,231,NA,coastline,9,39.5,christian,TRUE,africa,sub_saharan_africa,-534565
ken,1990,298089,g77,low_income,TRUE,KE,KE,KEN,404,NA,coastline,1,38,christian,Kenya,TRUE,africa,sub_saharan_africa,250340,g77,low_income,TRUE,KE,KE,KEN,404,NA,coastline,1,38,christian,TRUE,africa,sub_saharan_africa,47749
mdg,1990,23917,g77,low_income,TRUE,MG,MG,MDG,450,NA,coastline,-20,47,NA,Madagascar,TRUE,africa,sub_saharan_africa,59424,g77,low_income,TRUE,MG,MG,MDG,450,NA,coastline,-20,47,NA,TRUE,africa,sub_saharan_africa,-35507
mwi,1990,1127724,g77,low_income,TRUE,MW,MW,MWI,454,NA,landlocked,-13.5,34,christian,Malawi,TRUE,africa,sub_saharan_africa,143437,g77,low_income,TRUE,MW,MW,MWI,454,NA,landlocked,-13.5,34,christian,TRUE,africa,sub_saharan_africa,984287
mus,1990,3613,g77,upper_middle_income,TRUE,MU,MU,MUS,480,NA,coastline,-20.3,57.58333,NA,Mauritius,TRUE,africa,sub_saharan_africa,110708,g77,upper_middle_income,TRUE,MU,MU,MUS,480,NA,coastline,-20.3,57.58333,NA,TRUE,africa,sub_saharan_africa,-107095
myt,1990,15229,others,NA,TRUE,YT,YT,MYT,175,NA,coastline,-12.83333,45.16667,muslim,Mayotte,FALSE,africa,sub_saharan_africa,1835,others,NA,TRUE,YT,YT,MYT,175,NA,coastline,-12.83333,45.16667,muslim,FALSE,africa,sub_saharan_africa,13394
moz,1990,122332,g77,low_income,TRUE,MZ,MZ,MOZ,508,NA,coastline,-18.25,35,christian,Mozambique,TRUE,africa,sub_saharan_africa,2222369,g77,low_income,TRUE,MZ,MZ,MOZ,508,NA,coastline,-18.25,35,christian,TRUE,africa,sub_saharan_africa,-2100037
reu,1990,57210,others,NA,TRUE,RE,RE,REU,638,NA,coastline,-20.88231,55.4504,christian,Reunion,FALSE,africa,sub_saharan_africa,3087,others,NA,TRUE,RE,RE,REU,638,NA,coastline,-20.88231,55.4504,christian,FALSE,africa,sub_saharan_africa,54123
